,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
264,84757,37.45599,-113.25131,New Harmony,UT,Utah,TRUE,,1275,9.6,49053,Washington,"{""49053"": ""94.17"", ""49021"": ""5.83""}",Washington|Iron,49053|49021,FALSE,FALSE,America/Denver
265,84758,37.30207,-112.76235,Orderville,UT,Utah,TRUE,,685,3.4,49025,Kane,"{""49025"": ""100""}",Kane,49025,FALSE,FALSE,America/Denver
266,84759,37.90784,-112.39486,Panguitch,UT,Utah,TRUE,,2150,1.7,49017,Garfield,"{""49017"": ""100""}",Garfield,49017,FALSE,FALSE,America/Denver
267,84760,37.93734,-112.67608,Paragonah,UT,Utah,TRUE,,531,1.4,49021,Iron,"{""49021"": ""100""}",Iron,49021,FALSE,FALSE,America/Denver
268,84761,37.87441,-112.84236,Parowan,UT,Utah,TRUE,,3350,8.5,49021,Iron,"{""49021"": ""100""}",Iron,49021,FALSE,FALSE,America/Denver
269,84762,37.47132,-112.74162,Duck Creek Village,UT,Utah,TRUE,,78,0.1,49025,Kane,"{""49025"": ""97.18"", ""49017"": ""2.82""}",Kane|Garfield,49025|49017,FALSE,FALSE,America/Denver
270,84763,37.14232,-113.07054,Rockville,UT,Utah,TRUE,,223,5.1,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
271,84764,37.61843,-112.17352,Bryce,UT,Utah,TRUE,,299,2.2,49017,Garfield,"{""49017"": ""100""}",Garfield,49017,FALSE,FALSE,America/Denver
272,84765,37.12813,-113.67604,Santa Clara,UT,Utah,TRUE,,7168,290.3,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
273,84766,38.57636,-112.31712,Sevier,UT,Utah,TRUE,,327,2.4,49041,Sevier,"{""49041"": ""100""}",Sevier,49041,FALSE,FALSE,America/Denver
274,84767,37.237,-112.98642,Springdale,UT,Utah,TRUE,,499,0.7,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
275,84770,37.17567,-113.60824,Saint George,UT,Utah,TRUE,,42578,313.8,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
276,84772,37.78078,-112.93863,Summit,UT,Utah,TRUE,,228,12.9,49021,Iron,"{""49021"": ""100""}",Iron,49021,FALSE,FALSE,America/Denver
277,84773,38.2265,-111.34215,Teasdale,UT,Utah,TRUE,,339,1.3,49055,Wayne,"{""49055"": ""100""}",Wayne,49055,FALSE,FALSE,America/Denver
278,84774,37.29052,-113.2812,Toquerville,UT,Utah,TRUE,,1779,16.5,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
279,84775,38.07,-111.00525,Torrey,UT,Utah,TRUE,,371,0.3,49055,Wayne,"{""49055"": ""97.91"", ""49017"": ""2.09""}",Wayne|Garfield,49055|49017,FALSE,FALSE,America/Denver
280,84776,37.63061,-112.08028,Tropic,UT,Utah,TRUE,,506,19.5,49017,Garfield,"{""49017"": ""100""}",Garfield,49017,FALSE,FALSE,America/Denver
281,84779,37.33956,-113.12071,Virgin,UT,Utah,TRUE,,662,1.2,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
282,84780,37.12645,-113.49026,Washington,UT,Utah,TRUE,,26087,273.8,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
283,84781,37.41281,-113.46609,Pine Valley,UT,Utah,TRUE,,168,0.9,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
284,84782,37.34955,-113.66483,Veyo,UT,Utah,TRUE,,1110,17.4,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
285,84783,37.24641,-113.69304,Dammeron Valley,UT,Utah,TRUE,,786,6.4,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
286,84784,37.03294,-112.99447,Hildale,UT,Utah,TRUE,,2910,79.5,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
287,84790,37.04637,-113.55812,Saint George,UT,Utah,TRUE,,45709,394.4,49053,Washington,"{""49053"": ""100""}",Washington,49053,FALSE,FALSE,America/Denver
