,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
45,84053,40.44996,-110.0181,Neola,UT,Utah,TRUE,,1200,8.2,49013,Duchesne,"{""49013"": ""94.26"", ""49047"": ""5.74""}",Duchesne|Uintah,49013|49047,FALSE,FALSE,America/Denver
46,84054,40.84113,-111.91693,North Salt Lake,UT,Utah,TRUE,,20328,935.9,49011,Davis,"{""49011"": ""100""}",Davis,49011,FALSE,FALSE,America/Denver
47,84055,40.77872,-111.08246,Oakley,UT,Utah,TRUE,,1459,3.6,49043,Summit,"{""49043"": ""100""}",Summit,49043,FALSE,FALSE,America/Denver
48,84056,41.12649,-111.99017,Hill Afb,UT,Utah,TRUE,,3458,141.6,49011,Davis,"{""49011"": ""100""}",Davis,49011,FALSE,FALSE,America/Denver
49,84057,40.31425,-111.7104,Orem,UT,Utah,TRUE,,40605,2484,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
50,84058,40.28728,-111.7278,Orem,UT,Utah,TRUE,,40832,1279.6,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
51,84060,40.65236,-111.50183,Park City,UT,Utah,TRUE,,8516,117.2,49043,Summit,"{""49043"": ""99.8"", ""49051"": ""0.2""}",Summit|Wasatch,49043|49051,FALSE,FALSE,America/Denver
52,84061,40.75259,-111.34282,Peoa,UT,Utah,TRUE,,283,3.6,49043,Summit,"{""49043"": ""100""}",Summit,49043,FALSE,FALSE,America/Denver
53,84062,40.43484,-111.67779,Pleasant Grove,UT,Utah,TRUE,,47928,454.7,49049,Utah,"{""49049"": ""100""}",Utah,49049,FALSE,FALSE,America/Denver
54,84063,39.98758,-109.70237,Randlett,UT,Utah,TRUE,,184,0.2,49047,Uintah,"{""49047"": ""100""}",Uintah,49047,FALSE,FALSE,America/Denver
55,84064,41.68381,-111.12536,Randolph,UT,Utah,TRUE,,969,2.4,49033,Rich,"{""49033"": ""100""}",Rich,49033,FALSE,FALSE,America/Denver
56,84065,40.4954,-111.94443,Riverton,UT,Utah,TRUE,,43040,797.6,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
57,84066,40.32926,-110.02869,Roosevelt,UT,Utah,TRUE,,12351,28.4,49013,Duchesne,"{""49013"": ""84.78"", ""49047"": ""15.22""}",Duchesne|Uintah,49013|49047,FALSE,FALSE,America/Denver
58,84067,41.17183,-112.04814,Roy,UT,Utah,TRUE,,39314,1856.3,49057,Weber,"{""49057"": ""100""}",Weber,49057,FALSE,FALSE,America/Denver
59,84069,40.3814,-112.49747,Rush Valley,UT,Utah,TRUE,,537,3.2,49045,Tooele,"{""49045"": ""100""}",Tooele,49045,FALSE,FALSE,America/Denver
60,84070,40.577,-111.88907,Sandy,UT,Utah,TRUE,,28534,1531.3,49035,Salt Lake,"{""49035"": ""100""}",Salt Lake,49035,FALSE,FALSE,America/Denver
61,84071,40.41818,-112.31834,Stockton,UT,Utah,TRUE,,1486,5.4,49045,Tooele,"{""49045"": ""100""}",Tooele,49045,FALSE,FALSE,America/Denver
62,84072,40.35538,-110.66026,Tabiona,UT,Utah,TRUE,,383,1.2,49013,Duchesne,"{""49013"": ""100""}",Duchesne,49013,FALSE,FALSE,America/Denver
