Column1,Column2,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
714,41%,93244,36.46691,-119.01558,Lemon Cove,CA,California,TRUE,,308,1.7,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
715,41%,93245,36.29517,-119.82871,Lemoore,CA,California,TRUE,,38480,126,6031,Kings,"{""06031"": ""100""}",Kings,6031,FALSE,FALSE,America/Los_Angeles
716,41%,93247,36.20457,-119.06992,Lindsay,CA,California,TRUE,,18234,93,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
717,41%,93249,35.68836,-119.87675,Lost Hills,CA,California,TRUE,,1875,3.2,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
718,41%,93250,35.66575,-119.19747,McFarland,CA,California,TRUE,,16191,73.9,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
719,41%,93251,35.36171,-119.69355,McKittrick,CA,California,TRUE,,202,0.6,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
720,41%,93252,34.72503,-119.21492,Maricopa,CA,California,TRUE,,2488,1.4,6029,Kern,"{""06029"": ""89.18"", ""06083"": ""5.46"", ""06111"": ""2.85"", ""06079"": ""2.51""}",Kern|Santa Barbara|Ventura|San Luis Obispo,06029|06083|06111|06079,FALSE,FALSE,America/Los_Angeles
721,41%,93254,34.94866,-119.77105,New Cuyama,CA,California,TRUE,,786,2.2,6083,Santa Barbara,"{""06083"": ""97.04"", ""06079"": ""2.96""}",Santa Barbara|San Luis Obispo,06083|06079,FALSE,FALSE,America/Los_Angeles
722,41%,93255,35.6824,-118.09555,Onyx,CA,California,TRUE,,691,1.2,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
723,41%,93256,35.96189,-119.31555,Pixley,CA,California,TRUE,,5431,26.2,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
724,41%,93257,35.98376,-118.87178,Porterville,CA,California,TRUE,,76519,66.4,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
725,41%,93258,36.05438,-119.15041,Porterville,CA,California,TRUE,,1952,1742,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
726,41%,93260,35.81723,-118.66912,Posey,CA,California,TRUE,,226,2.7,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
727,41%,93261,35.80852,-119.12814,Richgrove,CA,California,TRUE,,2434,110.7,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
728,41%,93262,36.6008,-118.71097,Sequoia National Park,CA,California,TRUE,,53,0.2,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
729,41%,93263,35.4928,-119.28685,Shafter,CA,California,TRUE,,22210,94.7,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
730,41%,93265,36.19567,-118.6826,Springville,CA,California,TRUE,,3379,3.5,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
731,42%,93266,36.15726,-119.86374,Stratford,CA,California,TRUE,,1337,9.3,6031,Kings,"{""06031"": ""100""}",Kings,6031,FALSE,FALSE,America/Los_Angeles
732,42%,93267,36.15106,-119.05196,Strathmore,CA,California,TRUE,,6788,34.9,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
733,42%,93268,35.16239,-119.42517,Taft,CA,California,TRUE,,18731,172.3,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
734,42%,93270,35.95241,-119.07285,Terra Bella,CA,California,TRUE,,5367,33.5,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
735,42%,93271,36.45921,-118.77808,Three Rivers,CA,California,TRUE,,2479,2.5,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
736,42%,93272,36.05086,-119.34644,Tipton,CA,California,TRUE,,4707,21.7,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
737,42%,93274,36.18026,-119.36943,Tulare,CA,California,TRUE,,74000,133.5,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
738,42%,93276,35.29937,-119.35868,Tupman,CA,California,TRUE,,144,81.2,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
739,42%,93277,36.29923,-119.381,Visalia,CA,California,TRUE,,52271,504.7,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
740,42%,93280,35.64805,-119.44873,Wasco,CA,California,TRUE,,28138,33.7,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
741,42%,93283,35.56954,-118.27648,Weldon,CA,California,TRUE,,2261,4.3,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
742,42%,93285,35.71608,-118.50242,Wofford Heights,CA,California,TRUE,,2477,20.3,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
743,42%,93286,36.47024,-119.10553,Woodlake,CA,California,TRUE,,9906,44.8,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
744,42%,93287,35.72929,-118.93141,Woody,CA,California,TRUE,,72,0.5,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
745,42%,93291,36.38959,-119.36857,Visalia,CA,California,TRUE,,59270,270.4,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
746,42%,93292,36.37715,-119.22402,Visalia,CA,California,TRUE,,42031,149.3,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
747,42%,93301,35.38451,-119.02082,Bakersfield,CA,California,TRUE,,12325,1138.1,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
748,42%,93304,35.33973,-119.02344,Bakersfield,CA,California,TRUE,,49115,2496.9,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
749,43%,93305,35.38979,-118.98518,Bakersfield,CA,California,TRUE,,37902,2465.9,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
750,43%,93306,35.46364,-118.78979,Bakersfield,CA,California,TRUE,,72280,316.8,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
751,43%,93307,35.24849,-118.93629,Bakersfield,CA,California,TRUE,,86832,241.4,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
752,43%,93308,35.54752,-118.93568,Bakersfield,CA,California,TRUE,,53981,66,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
753,43%,93309,35.3436,-119.06633,Bakersfield,CA,California,TRUE,,58538,2128.5,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
754,43%,93311,35.19414,-119.17444,Bakersfield,CA,California,TRUE,,45481,103.6,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
755,43%,93312,35.39347,-119.12045,Bakersfield,CA,California,TRUE,,61628,1564.2,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
756,43%,93313,35.16327,-119.04631,Bakersfield,CA,California,TRUE,,55221,213.9,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
757,43%,93314,35.38792,-119.23632,Bakersfield,CA,California,TRUE,,28963,113,6029,Kern,"{""06029"": ""100""}",Kern,6029,FALSE,FALSE,America/Los_Angeles
