,,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
32,0.079012346,85043,33.43242,-112.19646,Phoenix,AZ,Arizona,TRUE,,38704,790.5,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
33,0.081481481,85044,33.34239,-112.00177,Phoenix,AZ,Arizona,TRUE,,41746,1118.5,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
34,0.083950617,85045,33.29917,-112.10853,Phoenix,AZ,Arizona,TRUE,,7008,747.9,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
35,0.086419753,85048,33.3126,-112.05578,Phoenix,AZ,Arizona,TRUE,,35765,700.3,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
36,0.088888889,85050,33.68633,-111.99631,Phoenix,AZ,Arizona,TRUE,,32039,847.9,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
37,0.091358025,85051,33.55908,-112.1332,Phoenix,AZ,Arizona,TRUE,,45313,2769.8,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
38,0.09382716,85053,33.62994,-112.1316,Phoenix,AZ,Arizona,TRUE,,30608,2268.7,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
39,0.096296296,85054,33.67311,-111.94612,Phoenix,AZ,Arizona,TRUE,,7785,334,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
40,0.098765432,85083,33.72456,-112.15854,Phoenix,AZ,Arizona,TRUE,,19923,781.4,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
41,0.101234568,85085,33.75295,-112.08931,Phoenix,AZ,Arizona,TRUE,,23700,357.3,4013,Maricopa,"{""04013"": ""100""}",Maricopa,4013,FALSE,FALSE,America/Phoenix
