,,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
33,19%,89046,35.51337,-114.88657,Searchlight,NV,Nevada,TRUE,,357,0.2,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
34,19%,89047,37.7659,-117.64791,Silverpeak,NV,Nevada,TRUE,,142,10.1,32009,Esmeralda,"{""32009"": ""100""}",Esmeralda,32009,FALSE,FALSE,America/Los_Angeles
35,20%,89048,36.16602,-116.00381,Pahrump,NV,Nevada,TRUE,,21784,109.8,32023,Nye,"{""32023"": ""100""}",Nye,32023,FALSE,FALSE,America/Los_Angeles
36,21%,89049,38.36445,-116.26157,Tonopah,NV,Nevada,TRUE,,2286,0.5,32023,Nye,"{""32023"": ""99.19"", ""32009"": ""0.81""}",Nye|Esmeralda,32023|32009,FALSE,FALSE,America/Los_Angeles
37,21%,89052,35.9551,-115.05673,Henderson,NV,Nevada,TRUE,,55096,409.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
38,22%,89054,35.92722,-115.20828,Sloan,NV,Nevada,TRUE,,57,4.4,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
39,22%,89060,36.39425,-116.06352,Pahrump,NV,Nevada,TRUE,,9473,7.9,32023,Nye,"{""32023"": ""99.71"", ""06027"": ""0.29""}",Nye|Inyo,32023|06027,FALSE,FALSE,America/Los_Angeles
40,23%,89061,36.08762,-115.89658,Pahrump,NV,Nevada,TRUE,,6160,32.7,32023,Nye,"{""32023"": ""99.03"", ""06027"": ""0.97""}",Nye|Inyo,32023|06027,FALSE,FALSE,America/Los_Angeles
41,23%,89074,36.03659,-115.08087,Henderson,NV,Nevada,TRUE,,50353,2166.7,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
42,24%,89081,36.25833,-115.10677,North Las Vegas,NV,Nevada,TRUE,,37480,1943.6,32003,Clark,"{""32003"": ""100""}",Clark,32003,FALSE,FALSE,America/Los_Angeles
