Column1,Column2,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1594,91%,95930,39.5519,-121.19346,Clipper Mills,CA,California,TRUE,,72,1.7,6007,Butte,"{""06007"": ""50.72"", ""06115"": ""49.28""}",Butte|Yuba,06007|06115,FALSE,FALSE,America/Los_Angeles
1595,91%,95932,39.27203,-121.9988,Colusa,CA,California,TRUE,,7633,23.7,6011,Colusa,"{""06011"": ""100""}",Colusa,6011,FALSE,FALSE,America/Los_Angeles
1596,91%,95934,40.07192,-120.92855,Crescent Mills,CA,California,TRUE,,146,2.7,6063,Plumas,"{""06063"": ""100""}",Plumas,6063,FALSE,FALSE,America/Los_Angeles
1597,91%,95935,39.37755,-121.19117,Dobbins,CA,California,TRUE,,261,4.3,6115,Yuba,"{""06115"": ""100""}",Yuba,6115,FALSE,FALSE,America/Los_Angeles
1598,91%,95936,39.60728,-120.79215,Downieville,CA,California,TRUE,,158,0.6,6091,Sierra,"{""06091"": ""100""}",Sierra,6091,FALSE,FALSE,America/Los_Angeles
1599,91%,95937,38.88522,-121.999,Dunnigan,CA,California,TRUE,,1540,11.7,6113,Yolo,"{""06113"": ""100""}",Yolo,6113,FALSE,FALSE,America/Los_Angeles
1600,91%,95938,39.60303,-121.79879,Durham,CA,California,TRUE,,4446,23.9,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1601,91%,95939,39.56322,-122.59296,Elk Creek,CA,California,TRUE,,605,0.8,6021,Glenn,"{""06021"": ""100""}",Glenn,6021,FALSE,FALSE,America/Los_Angeles
1602,91%,95941,39.52098,-121.2424,Forbestown,CA,California,TRUE,,775,18.9,6007,Butte,"{""06007"": ""80.11"", ""06115"": ""19.89""}",Butte|Yuba,06007|06115,FALSE,FALSE,America/Los_Angeles
1603,91%,95942,40.01871,-121.56466,Forest Ranch,CA,California,TRUE,,934,6.5,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1604,91%,95943,39.58572,-122.03669,Glenn,CA,California,TRUE,,871,5.3,6021,Glenn,"{""06021"": ""100""}",Glenn,6021,FALSE,FALSE,America/Los_Angeles
1605,91%,95944,39.49932,-120.93149,Goodyears Bar,CA,California,TRUE,,26,0.2,6091,Sierra,"{""06091"": ""100""}",Sierra,6091,FALSE,FALSE,America/Los_Angeles
1606,91%,95945,39.19509,-120.97699,Grass Valley,CA,California,TRUE,,25381,152.6,6057,Nevada,"{""06057"": ""100""}",Nevada,6057,FALSE,FALSE,America/Los_Angeles
1607,91%,95946,39.21537,-121.20124,Penn Valley,CA,California,TRUE,,8977,82.8,6057,Nevada,"{""06057"": ""100""}",Nevada,6057,FALSE,FALSE,America/Los_Angeles
1608,91%,95947,40.17456,-120.8197,Greenville,CA,California,TRUE,,1657,4.9,6063,Plumas,"{""06063"": ""100""}",Plumas,6063,FALSE,FALSE,America/Los_Angeles
1609,91%,95948,39.34384,-121.76035,Gridley,CA,California,TRUE,,11917,59,6007,Butte,"{""06007"": ""99.76"", ""06101"": ""0.24""}",Butte|Sutter,06007|06101,FALSE,FALSE,America/Los_Angeles
1610,91%,95949,39.1026,-121.13515,Grass Valley,CA,California,TRUE,,21036,58.2,6057,Nevada,"{""06057"": ""100""}",Nevada,6057,FALSE,FALSE,America/Los_Angeles
1611,91%,95950,39.04405,-121.92095,Grimes,CA,California,TRUE,,350,2.7,6011,Colusa,"{""06011"": ""100""}",Colusa,6011,FALSE,FALSE,America/Los_Angeles
1612,92%,95951,39.71694,-122.00226,Hamilton City,CA,California,TRUE,,2686,56.4,6021,Glenn,"{""06021"": ""100""}",Glenn,6021,FALSE,FALSE,America/Los_Angeles
1613,92%,95953,39.2509,-121.7739,Live Oak,CA,California,TRUE,,10925,37.1,6101,Sutter,"{""06101"": ""100""}",Sutter,6101,FALSE,FALSE,America/Los_Angeles
1614,92%,95954,39.89153,-121.58525,Magalia,CA,California,TRUE,,12371,67.2,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1615,92%,95955,39.29409,-122.20733,Maxwell,CA,California,TRUE,,1386,4.4,6011,Colusa,"{""06011"": ""100""}",Colusa,6011,FALSE,FALSE,America/Los_Angeles
1616,92%,95956,39.83806,-121.13636,Meadow Valley,CA,California,TRUE,,348,2,6063,Plumas,"{""06063"": ""100""}",Plumas,6063,FALSE,FALSE,America/Los_Angeles
1617,92%,95957,39.06216,-121.82823,Meridian,CA,California,TRUE,,879,4.9,6101,Sutter,"{""06101"": ""100""}",Sutter,6101,FALSE,FALSE,America/Los_Angeles
1618,92%,95959,39.33853,-120.92058,Nevada City,CA,California,TRUE,,18343,28.6,6057,Nevada,"{""06057"": ""100""}",Nevada,6057,FALSE,FALSE,America/Los_Angeles
1619,92%,95960,39.38978,-121.04434,North San Juan,CA,California,TRUE,,684,5.5,6057,Nevada,"{""06057"": ""73.24"", ""06091"": ""18.34"", ""06115"": ""8.42""}",Nevada|Sierra|Yuba,06057|06091|06115,FALSE,FALSE,America/Los_Angeles
1620,92%,95961,39.03344,-121.55758,Olivehurst,CA,California,TRUE,,28489,240.3,6115,Yuba,"{""06115"": ""100""}",Yuba,6115,FALSE,FALSE,America/Los_Angeles
1621,92%,95962,39.34594,-121.26629,Oregon House,CA,California,TRUE,,1324,17.2,6115,Yuba,"{""06115"": ""100""}",Yuba,6115,FALSE,FALSE,America/Los_Angeles
1622,92%,95963,39.73634,-122.26205,Orland,CA,California,TRUE,,15492,19.6,6021,Glenn,"{""06021"": ""95.11"", ""06103"": ""4.89""}",Glenn|Tehama,06021|06103,FALSE,FALSE,America/Los_Angeles
1623,92%,95965,39.5947,-121.59608,Oroville,CA,California,TRUE,,20498,24.7,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1624,92%,95966,39.47123,-121.42821,Oroville,CA,California,TRUE,,29860,62.6,6007,Butte,"{""06007"": ""99.54"", ""06115"": ""0.46""}",Butte|Yuba,06007|06115,FALSE,FALSE,America/Los_Angeles
1625,92%,95968,39.43522,-121.55195,Palermo,CA,California,TRUE,,1231,307.1,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1626,92%,95969,39.71633,-121.64742,Paradise,CA,California,TRUE,,23572,154.2,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1627,92%,95970,39.40056,-122.06028,Princeton,CA,California,TRUE,,616,5.1,6011,Colusa,"{""06011"": ""67.55"", ""06021"": ""32.45""}",Colusa|Glenn,06011|06021,FALSE,FALSE,America/Los_Angeles
1628,92%,95971,39.93721,-120.90026,Quincy,CA,California,TRUE,,5924,22.6,6063,Plumas,"{""06063"": ""100""}",Plumas,6063,FALSE,FALSE,America/Los_Angeles
1629,93%,95973,39.8974,-121.84826,Chico,CA,California,TRUE,,36682,42.6,6007,Butte,"{""06007"": ""99.76"", ""06103"": ""0.24""}",Butte|Tehama,06007|06103,FALSE,FALSE,America/Los_Angeles
1630,93%,95974,39.48023,-121.83853,Richvale,CA,California,TRUE,,65,3,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1631,93%,95975,39.22442,-121.15153,Rough And Ready,CA,California,TRUE,,1877,77.3,6057,Nevada,"{""06057"": ""100""}",Nevada,6057,FALSE,FALSE,America/Los_Angeles
1632,93%,95977,39.17693,-121.28798,Smartsville,CA,California,TRUE,,1488,14.7,6057,Nevada,"{""06057"": ""61.56"", ""06115"": ""38.44""}",Nevada|Yuba,06057|06115,FALSE,FALSE,America/Los_Angeles
1633,93%,95978,39.87564,-121.53629,Stirling City,CA,California,TRUE,,245,15,6007,Butte,"{""06007"": ""100""}",Butte,6007,FALSE,FALSE,America/Los_Angeles
1634,93%,95979,39.30145,-122.51586,Stonyford,CA,California,TRUE,,414,0.6,6011,Colusa,"{""06011"": ""100""}",Colusa,6011,FALSE,FALSE,America/Los_Angeles
1635,93%,95981,39.63608,-121.03597,Strawberry Valley,CA,California,TRUE,,39,0.4,6115,Yuba,"{""06115"": ""69.07"", ""06063"": ""30.93""}",Yuba|Plumas,06115|06063,FALSE,FALSE,America/Los_Angeles
1636,93%,95982,39.18314,-121.80465,Sutter,CA,California,TRUE,,3259,28.4,6101,Sutter,"{""06101"": ""100""}",Sutter,6101,FALSE,FALSE,America/Los_Angeles
1637,93%,95983,40.07792,-120.70727,Taylorsville,CA,California,TRUE,,380,1.2,6063,Plumas,"{""06063"": ""100""}",Plumas,6063,FALSE,FALSE,America/Los_Angeles
1638,93%,95984,40.04096,-121.12268,Twain,CA,California,TRUE,,327,3.8,6063,Plumas,"{""06063"": ""100""}",Plumas,6063,FALSE,FALSE,America/Los_Angeles
1639,93%,95986,39.34258,-120.77087,Washington,CA,California,TRUE,,56,2.6,6057,Nevada,"{""06057"": ""100""}",Nevada,6057,FALSE,FALSE,America/Los_Angeles
1640,93%,95987,39.09609,-122.28249,Williams,CA,California,TRUE,,5950,6.9,6011,Colusa,"{""06011"": ""100""}",Colusa,6011,FALSE,FALSE,America/Los_Angeles
1641,93%,95988,39.50503,-122.27429,Willows,CA,California,TRUE,,8298,10.3,6021,Glenn,"{""06021"": ""100""}",Glenn,6021,FALSE,FALSE,America/Los_Angeles
1642,93%,95991,39.02249,-121.61286,Yuba City,CA,California,TRUE,,40861,387.7,6101,Sutter,"{""06101"": ""100""}",Sutter,6101,FALSE,FALSE,America/Los_Angeles
1643,93%,95993,39.08184,-121.68845,Yuba City,CA,California,TRUE,,37077,167.4,6101,Sutter,"{""06101"": ""100""}",Sutter,6101,FALSE,FALSE,America/Los_Angeles
1644,93%,96001,40.59648,-122.46004,Redding,CA,California,TRUE,,34293,150.5,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1645,93%,96002,40.53023,-122.31734,Redding,CA,California,TRUE,,34196,436.5,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1646,93%,96003,40.74375,-122.2387,Redding,CA,California,TRUE,,44328,72,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1647,94%,96006,41.17425,-120.85292,Adin,CA,California,TRUE,,389,0.9,6049,Modoc,"{""06049"": ""69.3"", ""06035"": ""30.7""}",Modoc|Lassen,06049|06035,FALSE,FALSE,America/Los_Angeles
1648,94%,96007,40.45867,-122.27916,Anderson,CA,California,TRUE,,23228,69.2,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1649,94%,96008,40.71236,-122.10816,Bella Vista,CA,California,TRUE,,1191,12.7,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1650,94%,96009,41.06347,-121.04102,Bieber,CA,California,TRUE,,321,0.6,6035,Lassen,"{""06035"": ""100""}",Lassen,6035,FALSE,FALSE,America/Los_Angeles
1651,94%,96010,40.91942,-123.24622,Big Bar,CA,California,TRUE,,122,0.1,6105,Trinity,"{""06105"": ""100""}",Trinity,6105,FALSE,FALSE,America/Los_Angeles
1652,94%,96011,41.05006,-121.98342,Big Bend,CA,California,TRUE,,199,0.2,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1653,94%,96013,41.0015,-121.68639,Burney,CA,California,TRUE,,4819,8.1,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1654,94%,96014,41.33895,-122.77793,Callahan,CA,California,TRUE,,135,0.4,6093,Siskiyou,"{""06093"": ""100""}",Siskiyou,6093,FALSE,FALSE,America/Los_Angeles
1655,94%,96015,41.50377,-120.91725,Canby,CA,California,TRUE,,320,0.5,6049,Modoc,"{""06049"": ""100""}",Modoc,6049,FALSE,FALSE,America/Los_Angeles
1656,94%,96016,40.91155,-121.52318,Cassel,CA,California,TRUE,,424,3.9,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1657,94%,96017,41.11961,-122.27029,Castella,CA,California,TRUE,,140,0.4,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1658,94%,96019,40.67917,-122.37743,Shasta Lake,CA,California,TRUE,,10178,359.1,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1659,94%,96020,40.367,-121.29632,Chester,CA,California,TRUE,,2369,22.9,6063,Plumas,"{""06063"": ""100""}",Plumas,6063,FALSE,FALSE,America/Los_Angeles
1660,94%,96021,39.92648,-122.26527,Corning,CA,California,TRUE,,16017,25.9,6103,Tehama,"{""06103"": ""100""}",Tehama,6103,FALSE,FALSE,America/Los_Angeles
1661,94%,96022,40.33505,-122.447,Cottonwood,CA,California,TRUE,,16253,25.9,6103,Tehama,"{""06103"": ""52.31"", ""06089"": ""47.69""}",Tehama|Shasta,06103|06089,FALSE,FALSE,America/Los_Angeles
1662,94%,96023,41.92683,-121.9071,Dorris,CA,California,TRUE,,1184,1.8,6093,Siskiyou,"{""06093"": ""100""}",Siskiyou,6093,FALSE,FALSE,America/Los_Angeles
1663,94%,96024,40.5754,-122.89042,Douglas City,CA,California,TRUE,,846,1.8,6105,Trinity,"{""06105"": ""100""}",Trinity,6105,FALSE,FALSE,America/Los_Angeles
1664,94%,96025,41.21073,-122.31349,Dunsmuir,CA,California,TRUE,,2126,8.9,6093,Siskiyou,"{""06093"": ""92.77"", ""06089"": ""7.23""}",Siskiyou|Shasta,06093|06089,FALSE,FALSE,America/Los_Angeles
1665,95%,96027,41.3839,-123.06878,Etna,CA,California,TRUE,,2327,1.9,6093,Siskiyou,"{""06093"": ""100""}",Siskiyou,6093,FALSE,FALSE,America/Los_Angeles
1666,95%,96028,41.01058,-121.47205,Fall River Mills,CA,California,TRUE,,1368,3.2,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1667,95%,96029,39.94207,-122.47811,Flournoy,CA,California,TRUE,,167,1.8,6103,Tehama,"{""06103"": ""100""}",Tehama,6103,FALSE,FALSE,America/Los_Angeles
1668,95%,96031,41.18353,-123.18184,Forks Of Salmon,CA,California,TRUE,,133,0.1,6093,Siskiyou,"{""06093"": ""100""}",Siskiyou,6093,FALSE,FALSE,America/Los_Angeles
1669,95%,96032,41.60675,-122.96422,Fort Jones,CA,California,TRUE,,2653,2.2,6093,Siskiyou,"{""06093"": ""100""}",Siskiyou,6093,FALSE,FALSE,America/Los_Angeles
1670,95%,96033,40.76366,-122.56918,French Gulch,CA,California,TRUE,,490,1.3,6089,Shasta,"{""06089"": ""100""}",Shasta,6089,FALSE,FALSE,America/Los_Angeles
1671,95%,96034,41.43185,-122.61543,Gazelle,CA,California,TRUE,,279,1,6093,Siskiyou,"{""06093"": ""100""}",Siskiyou,6093,FALSE,FALSE,America/Los_Angeles
1672,95%,96035,40.04685,-122.18201,Gerber,CA,California,TRUE,,3629,30.5,6103,Tehama,"{""06103"": ""100""}",Tehama,6103,FALSE,FALSE,America/Los_Angeles
