,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
896,45248,39.16433,-84.66255,Cincinnati,OH,Ohio,TRUE,,25612,832,39061,Hamilton,"{""39061"": ""100""}",Hamilton,39061,FALSE,FALSE,America/New_York
897,45249,39.27545,-84.32799,Cincinnati,OH,Ohio,TRUE,,13571,800.2,39061,Hamilton,"{""39061"": ""97.33"", ""39165"": ""2.67""}",Hamilton|Warren,39061|39165,FALSE,FALSE,America/New_York
898,45251,39.26809,-84.59383,Cincinnati,OH,Ohio,TRUE,,22177,718.6,39061,Hamilton,"{""39061"": ""100""}",Hamilton,39061,FALSE,FALSE,America/New_York
899,45252,39.27347,-84.63214,Cincinnati,OH,Ohio,TRUE,,4456,151,39061,Hamilton,"{""39061"": ""100""}",Hamilton,39061,FALSE,FALSE,America/New_York
900,45255,39.05885,-84.32711,Cincinnati,OH,Ohio,TRUE,,21972,664,39061,Hamilton,"{""39061"": ""70.33"", ""39025"": ""29.67""}",Hamilton|Clermont,39061|39025,FALSE,FALSE,America/New_York
901,45301,39.71146,-84.02204,Alpha,OH,Ohio,TRUE,,99,433.3,39057,Greene,"{""39057"": ""100""}",Greene,39057,FALSE,FALSE,America/New_York
902,45302,40.40228,-84.20383,Anna,OH,Ohio,TRUE,,4281,32.7,39149,Shelby,"{""39149"": ""100""}",Shelby,39149,FALSE,FALSE,America/New_York
903,45303,40.21593,-84.65781,Ansonia,OH,Ohio,TRUE,,2542,30.9,39037,Darke,"{""39037"": ""100""}",Darke,39037,FALSE,FALSE,America/New_York
904,45304,39.9888,-84.53121,Arcanum,OH,Ohio,TRUE,,7305,33.2,39037,Darke,"{""39037"": ""98.6"", ""39135"": ""1.07"", ""39109"": ""0.33""}",Darke|Preble|Miami,39037|39135|39109,FALSE,FALSE,America/New_York
905,45305,39.63474,-84.07969,Bellbrook,OH,Ohio,TRUE,,11172,298.6,39057,Greene,"{""39057"": ""100""}",Greene,39057,FALSE,FALSE,America/New_York
906,45306,40.45819,-84.18727,Botkins,OH,Ohio,TRUE,,2390,27.6,39149,Shelby,"{""39149"": ""99.08"", ""39011"": ""0.92""}",Shelby|Auglaize,39149|39011,FALSE,FALSE,America/New_York
907,45307,39.58066,-83.72337,Bowersville,OH,Ohio,TRUE,,359,805.4,39057,Greene,"{""39057"": ""100""}",Greene,39057,FALSE,FALSE,America/New_York
908,45308,40.12549,-84.4574,Bradford,OH,Ohio,TRUE,,4518,34.1,39037,Darke,"{""39037"": ""61.13"", ""39109"": ""38.87""}",Darke|Miami,39037|39109,FALSE,FALSE,America/New_York
909,45309,39.84263,-84.42149,Brookville,OH,Ohio,TRUE,,12409,71.9,39113,Montgomery,"{""39113"": ""99.31"", ""39037"": ""0.48"", ""39135"": ""0.21""}",Montgomery|Darke|Preble,39113|39037|39135,FALSE,FALSE,America/New_York
910,45310,40.35307,-84.64248,Burkettsville,OH,Ohio,TRUE,,266,590.8,39107,Mercer,"{""39107"": ""69.67"", ""39037"": ""30.33""}",Mercer|Darke,39107|39037,FALSE,FALSE,America/New_York
911,45311,39.62693,-84.6671,Camden,OH,Ohio,TRUE,,6249,26.4,39135,Preble,"{""39135"": ""100""}",Preble,39135,FALSE,FALSE,America/New_York
