Column1,Column2,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1418,81%,95550,40.77331,-123.81846,Korbel,CA,California,TRUE,,94,0.3,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1419,81%,95551,40.66757,-124.21872,Loleta,CA,California,TRUE,,1416,12.8,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1420,81%,95552,40.19843,-123.23113,Mad River,CA,California,TRUE,,750,0.5,6105,Trinity,"{""06105"": ""100""}",Trinity,6105,FALSE,FALSE,America/Los_Angeles
1421,81%,95553,40.24435,-123.89617,Miranda,CA,California,TRUE,,767,5,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1422,81%,95554,40.28413,-123.79454,Myers Flat,CA,California,TRUE,,508,3.9,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1423,81%,95555,41.3011,-123.99042,Orick,CA,California,TRUE,,437,2,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1424,81%,95556,41.30078,-123.58461,Orleans,CA,California,TRUE,,598,1.7,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1425,81%,95558,40.2961,-124.23457,Petrolia,CA,California,TRUE,,416,0.8,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1426,81%,95559,40.1859,-123.74824,Phillipsville,CA,California,TRUE,,70,1.5,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
1427,81%,95560,40.16453,-123.83859,Redway,CA,California,TRUE,,1615,18.7,6023,Humboldt,"{""06023"": ""100""}",Humboldt,6023,FALSE,FALSE,America/Los_Angeles
