,,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
201,0.496296296,85603,31.43388,-109.91053,Bisbee,AZ,Arizona,TRUE,,6887,11.8,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
202,0.498765432,85605,32.29938,-109.47785,Bowie,AZ,Arizona,TRUE,,540,0.6,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
203,0.501234568,85606,32.03953,-109.91029,Cochise,AZ,Arizona,TRUE,,1067,2.9,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
204,0.503703704,85607,31.5212,-109.35165,Douglas,AZ,Arizona,TRUE,,15419,7.1,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
205,0.50617284,85608,31.45586,-109.58611,Douglas,AZ,Arizona,TRUE,,4671,974.9,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
206,0.508641975,85609,32.06586,-110.10558,Dragoon,AZ,Arizona,TRUE,,340,1,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
207,0.511111111,85610,31.74107,-109.71769,Elfrida,AZ,Arizona,TRUE,,1071,0.9,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
208,0.513580247,85611,31.66145,-110.51209,Elgin,AZ,Arizona,TRUE,,1032,1.3,4023,Santa Cruz,"{""04023"": ""80"", ""04019"": ""17.93"", ""04003"": ""2.07""}",Santa Cruz|Pima|Cochise,04023|04019|04003,FALSE,FALSE,America/Phoenix
209,0.516049383,85613,31.56689,-110.38512,Fort Huachuca,AZ,Arizona,TRUE,,5309,43.8,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
210,0.518518519,85614,31.82284,-110.92578,Green Valley,AZ,Arizona,TRUE,,23777,67.6,4019,Pima,"{""04019"": ""100""}",Pima,4019,FALSE,FALSE,America/Phoenix
211,0.520987654,85615,31.40188,-110.21974,Hereford,AZ,Arizona,TRUE,,9391,17.5,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
212,0.52345679,85616,31.69327,-110.3331,Huachuca City,AZ,Arizona,TRUE,,5341,15.4,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
213,0.525925926,85617,31.54834,-109.72294,McNeal,AZ,Arizona,TRUE,,1128,2,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
214,0.528395062,85618,32.71316,-110.55581,Mammoth,AZ,Arizona,TRUE,,1787,6.1,4021,Pinal,"{""04021"": ""100""}",Pinal,4021,FALSE,FALSE,America/Phoenix
215,0.530864198,85619,32.4076,-110.7332,Mount Lemmon,AZ,Arizona,TRUE,,41,0.1,4019,Pima,"{""04019"": ""100""}",Pima,4019,FALSE,FALSE,America/Phoenix
216,0.533333333,85620,31.33718,-109.94117,Naco,AZ,Arizona,TRUE,,751,290.5,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
217,0.535802469,85621,31.42285,-111.04007,Nogales,AZ,Arizona,TRUE,,22074,30.2,4023,Santa Cruz,"{""04023"": ""100""}",Santa Cruz,4023,FALSE,FALSE,America/Phoenix
218,0.538271605,85622,31.82686,-111.07552,Green Valley,AZ,Arizona,TRUE,,6142,48.6,4019,Pima,"{""04019"": ""100""}",Pima,4019,FALSE,FALSE,America/Phoenix
219,0.540740741,85623,32.70641,-110.8053,Oracle,AZ,Arizona,TRUE,,5190,5.8,4021,Pinal,"{""04021"": ""100""}",Pinal,4021,FALSE,FALSE,America/Phoenix
220,0.543209877,85624,31.51531,-110.69853,Patagonia,AZ,Arizona,TRUE,,1289,1.3,4023,Santa Cruz,"{""04023"": ""100""}",Santa Cruz,4023,FALSE,FALSE,America/Phoenix
221,0.545679012,85625,31.8885,-109.61185,Pearce,AZ,Arizona,TRUE,,2141,3.3,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
222,0.548148148,85626,31.35779,-109.56665,Pirtleville,AZ,Arizona,TRUE,,1077,564.5,4003,Cochise,"{""04003"": ""100""}",Cochise,4003,FALSE,FALSE,America/Phoenix
