Column1,Column2,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
890,51%,93669,37.28276,-119.54215,Wishon,CA,California,TRUE,,238,13.5,6039,Madera,"{""06039"": ""100""}",Madera,6039,FALSE,FALSE,America/Los_Angeles
891,51%,93673,36.45261,-119.48234,Traver,CA,California,TRUE,,754,350,6107,Tulare,"{""06107"": ""100""}",Tulare,6107,FALSE,FALSE,America/Los_Angeles
892,51%,93675,36.72283,-119.19346,Squaw Valley,CA,California,TRUE,,3905,19.1,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
893,51%,93701,36.74968,-119.78766,Fresno,CA,California,TRUE,,10166,2590.7,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
894,51%,93702,36.73923,-119.75391,Fresno,CA,California,TRUE,,43601,3195.8,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
895,51%,93703,36.7689,-119.76245,Fresno,CA,California,TRUE,,32754,2675.2,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
896,51%,93704,36.79909,-119.8016,Fresno,CA,California,TRUE,,29740,2094.8,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
897,51%,93705,36.78671,-119.82832,Fresno,CA,California,TRUE,,36808,2923.5,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
898,51%,93706,36.65209,-119.90659,Fresno,CA,California,TRUE,,40586,95.9,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
899,51%,93710,36.82234,-119.76022,Fresno,CA,California,TRUE,,33448,1847.7,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
900,51%,93711,36.83459,-119.83117,Fresno,CA,California,TRUE,,38007,1301,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
901,51%,93720,36.86031,-119.76157,Fresno,CA,California,TRUE,,47081,1833.1,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
902,51%,93721,36.73291,-119.78374,Fresno,CA,California,TRUE,,7650,1440.7,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
903,51%,93722,36.80092,-119.87723,Fresno,CA,California,TRUE,,84621,1699,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
904,51%,93723,36.78624,-119.95324,Fresno,CA,California,TRUE,,13936,126.2,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
905,51%,93725,36.62534,-119.73651,Fresno,CA,California,TRUE,,27214,160.5,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
906,51%,93726,36.79367,-119.76145,Fresno,CA,California,TRUE,,42824,2626.7,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
907,52%,93727,36.75155,-119.6806,Fresno,CA,California,TRUE,,84449,1007.1,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
908,52%,93728,36.75727,-119.81834,Fresno,CA,California,TRUE,,16574,2092.1,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
909,52%,93730,36.90317,-119.75488,Fresno,CA,California,TRUE,,12770,618.7,6019,Fresno,"{""06019"": ""100""}",Fresno,6019,FALSE,FALSE,America/Los_Angeles
910,52%,93901,36.63863,-121.62401,Salinas,CA,California,TRUE,,28194,744.7,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
911,52%,93905,36.68321,-121.60701,Salinas,CA,California,TRUE,,60531,2511.7,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
912,52%,93906,36.72258,-121.63228,Salinas,CA,California,TRUE,,64348,1900,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
913,52%,93907,36.76958,-121.66778,Salinas,CA,California,TRUE,,23299,166.7,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
914,52%,93908,36.63429,-121.60685,Salinas,CA,California,TRUE,,12398,22.3,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
915,52%,93920,36.11042,-121.56063,Big Sur,CA,California,TRUE,,1545,1.6,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
916,52%,93921,36.55396,-121.92296,Carmel By The Sea,CA,California,TRUE,,3316,1424.1,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
917,52%,93923,36.45757,-121.84387,Carmel,CA,California,TRUE,,12837,38.4,6053,Monterey,"{""06053"": ""100""}",Monterey,6053,FALSE,FALSE,America/Los_Angeles
